ap_syndicated,bitly_click_count,collect_date,guid,language,media_id,media_name,media_url,processed_stories_id,publish_date,stories_id,title,url
0,,2010-10-01 01:01:11,http://www.nytimes.com/2010/10/01/business/global/01welfare.html,en,1,New York Times,http://nytimes.com,84383249,2010-10-01 00:40:33,24836006,Britain Is Cautious About Cutting Government Benefits,http://feeds.nytimes.com/click.phdo?i=8d17e84dea5733e10c0dc2f7c7118417
0,,2010-10-01 01:01:11,http://www.nytimes.com/2010/10/01/business/01tarp.html,en,1,New York Times,http://nytimes.com,84383250,2010-10-01 00:48:43,24836007,TARP Bailout to Cost Less Than Once Anticipated,http://feeds.nytimes.com/click.phdo?i=f17cd42c485addab8ba1c5d7f344f302
0,,2010-10-01 01:01:11,http://www.nytimes.com/2010/10/01/technology/01hewlett.html,en,1,New York Times,http://nytimes.com,84383251,2010-10-01 00:30:25,24836008,Former SAP Chief to Lead Hewlett-Packard,http://feeds.nytimes.com/click.phdo?i=cc351893c6322026f52e04a646ab7e0d
0,,2010-10-01 01:01:11,http://www.nytimes.com/2010/10/01/business/01drug.html,en,1,New York Times,http://nytimes.com,84383252,2010-10-01 00:50:00,24836009,Official Says J.&J. Plants Had Widespread Failings,http://feeds.nytimes.com/click.phdo?i=b33cd8f691e79f894662b4ee918b5a0e
0,,2010-10-01 01:01:11,http://www.nytimes.com/2010/10/01/business/01wall.html,en,1,New York Times,http://nytimes.com,84383253,2010-10-01 00:32:15,24836010,A Tax Break for Replacing Bad Drywall,http://feeds.nytimes.com/click.phdo?i=245ccc7ba5500951c38aaaac6c431c04
0,,2010-10-01 01:01:11,http://www.nytimes.com/2010/10/01/business/01boeing.html,en,1,New York Times,http://nytimes.com,84383254,2010-10-01 00:20:38,24836012,Boeing to Delay Delivery of 747-8 Jet,http://feeds.nytimes.com/click.phdo?i=3cd7516eb672aab09c2b5ee00630101f
0,,2010-10-01 01:01:11,http://www.nytimes.com/2010/10/01/business/01rental.html,en,1,New York Times,http://nytimes.com,84383255,2010-10-01 00:45:00,24836013,"Dollar Thrifty Shareholders Vote Against Hertz Bid, Leaving Avis Standing",http://feeds.nytimes.com/click.phdo?i=07b5549704217ce8e86f6958dbf91b60
0,,2010-10-01 01:01:11,http://www.nytimes.com/2010/10/01/business/media/01cooper.html,en,1,New York Times,http://nytimes.com,84383256,2010-10-01 00:43:09,24836014,Anderson Cooper Will Host a Daytime Talk Show,http://feeds.nytimes.com/click.phdo?i=d8ac06cf12654b0b1c393889c9b13507
0,,2010-10-01 01:01:11,http://www.nytimes.com/2010/10/01/business/economy/01norris.html,en,1,New York Times,http://nytimes.com,84383257,2010-10-01 00:20:38,24836015,High & Low Finance: The Upside Of Reviving Securitizing,http://feeds.nytimes.com/click.phdo?i=433c637ed803c65947b8127af14ca7a9
0,,2010-10-01 01:03:31,http://dinersjournal.blogs.nytimes.com/2010/09/30/shorty-tang-sesame-noodle-king-isremembered/,en,1,New York Times,http://nytimes.com,84383279,2010-10-01 00:04:46,24836155,The Sesame Noodle King,http://feeds.nytimes.com/click.phdo?i=45b78e9b7ac03d9074a4abe2f647571d
